,location,year,Score,SE,state,latitude,longitude,name
0,Alabama,1998,255,1.4,AL,32.318231,-86.902298,Alabama
1,Alabama,2002,253,1.3,AL,32.318231,-86.902298,Alabama
2,Alabama,2003,253,1.5,AL,32.318231,-86.902298,Alabama
3,Alabama,2004,252,1.4,AL,32.318231,-86.902298,Alabama
4,Alabama,2007,252,1.0,AL,32.318231,-86.902298,Alabama
5,Alabama,2009,255,1.1,AL,32.318231,-86.902298,Alabama
6,Alabama,2011,258,1.5,AL,32.318231,-86.902298,Alabama
7,Alabama,2013,257,1.2,AL,32.318231,-86.902298,Alabama
8,Alabama,2015,259,1.1,AL,32.318231,-86.902298,Alabama
9,Alabama,2017,258,1.0,AL,32.318231,-86.902298,Alabama
10,Alabama,2019,253,1.4,AL,32.318231,-86.902298,Alabama
11,Alaska,1998,.,.,AK,63.588753,-154.493062,Alaska
12,Alaska,2002,.,.,AK,63.588753,-154.493062,Alaska
13,Alaska,2003,256,1.1,AK,63.588753,-154.493062,Alaska
14,Alaska,2004,259,0.9,AK,63.588753,-154.493062,Alaska
15,Alaska,2007,259,1.0,AK,63.588753,-154.493062,Alaska
16,Alaska,2009,259,0.9,AK,63.588753,-154.493062,Alaska
17,Alaska,2011,261,0.9,AK,63.588753,-154.493062,Alaska
18,Alaska,2013,261,0.8,AK,63.588753,-154.493062,Alaska
19,Alaska,2015,260,1.1,AK,63.588753,-154.493062,Alaska
20,Alaska,2017,258,0.8,AK,63.588753,-154.493062,Alaska
21,Alaska,2019,252,1.1,AK,63.588753,-154.493062,Alaska
22,Arizona,1998,260,1.1,AZ,34.048928,-111.093731,Arizona
23,Arizona,2002,257,1.3,AZ,34.048928,-111.093731,Arizona
24,Arizona,2003,255,1.4,AZ,34.048928,-111.093731,Arizona
25,Arizona,2004,255,1.0,AZ,34.048928,-111.093731,Arizona
26,Arizona,2007,255,1.2,AZ,34.048928,-111.093731,Arizona
27,Arizona,2009,258,1.2,AZ,34.048928,-111.093731,Arizona
28,Arizona,2011,260,1.2,AZ,34.048928,-111.093731,Arizona
29,Arizona,2013,260,1.1,AZ,34.048928,-111.093731,Arizona
30,Arizona,2015,263,1.2,AZ,34.048928,-111.093731,Arizona
31,Arizona,2017,263,0.9,AZ,34.048928,-111.093731,Arizona
32,Arizona,2019,259,1.2,AZ,34.048928,-111.093731,Arizona
33,Arkansas,1998,256,1.3,AR,35.20105,-91.831833,Arkansas
34,Arkansas,2002,260,1.1,AR,35.20105,-91.831833,Arkansas
35,Arkansas,2003,258,1.3,AR,35.20105,-91.831833,Arkansas
36,Arkansas,2004,258,1.1,AR,35.20105,-91.831833,Arkansas
37,Arkansas,2007,258,1.0,AR,35.20105,-91.831833,Arkansas
38,Arkansas,2009,258,1.2,AR,35.20105,-91.831833,Arkansas
39,Arkansas,2011,259,0.9,AR,35.20105,-91.831833,Arkansas
40,Arkansas,2013,262,1.1,AR,35.20105,-91.831833,Arkansas
41,Arkansas,2015,259,1.2,AR,35.20105,-91.831833,Arkansas
42,Arkansas,2017,260,0.8,AR,35.20105,-91.831833,Arkansas
43,Arkansas,2019,259,1.1,AR,35.20105,-91.831833,Arkansas
44,California,1998,252,1.6,CA,36.778261,-119.417932,California
45,California,2002,250,1.8,CA,36.778261,-119.417932,California
46,California,2003,251,1.3,CA,36.778261,-119.417932,California
47,California,2004,250,0.6,CA,36.778261,-119.417932,California
48,California,2007,251,0.8,CA,36.778261,-119.417932,California
49,California,2009,253,1.2,CA,36.778261,-119.417932,California
50,California,2011,255,1.0,CA,36.778261,-119.417932,California
51,California,2013,262,1.2,CA,36.778261,-119.417932,California
52,California,2015,259,1.2,CA,36.778261,-119.417932,California
53,California,2017,263,1.2,CA,36.778261,-119.417932,California
54,California,2019,259,1.4,CA,36.778261,-119.417932,California
55,Colorado,1998,264,1,CO,39.550051,-105.782067,Colorado
56,Colorado,2002,.,.,CO,39.550051,-105.782067,Colorado
57,Colorado,2003,268,1.2,CO,39.550051,-105.782067,Colorado
58,Colorado,2004,265,1.1,CO,39.550051,-105.782067,Colorado
59,Colorado,2007,266,1.0,CO,39.550051,-105.782067,Colorado
60,Colorado,2009,266,0.8,CO,39.550051,-105.782067,Colorado
61,Colorado,2011,271,1.4,CO,39.550051,-105.782067,Colorado
62,Colorado,2013,271,1.1,CO,39.550051,-105.782067,Colorado
63,Colorado,2015,268,1.4,CO,39.550051,-105.782067,Colorado
64,Colorado,2017,270,1.3,CO,39.550051,-105.782067,Colorado
65,Colorado,2019,267,0.9,CO,39.550051,-105.782067,Colorado
66,Connecticut,1998,270,1,CT,41.603221,-73.087749,Connecticut
67,Connecticut,2002,267,1.2,CT,41.603221,-73.087749,Connecticut
68,Connecticut,2003,267,1.1,CT,41.603221,-73.087749,Connecticut
69,Connecticut,2004,264,1.3,CT,41.603221,-73.087749,Connecticut
70,Connecticut,2007,267,1.6,CT,41.603221,-73.087749,Connecticut
71,Connecticut,2009,272,0.9,CT,41.603221,-73.087749,Connecticut
72,Connecticut,2011,275,0.9,CT,41.603221,-73.087749,Connecticut
73,Connecticut,2013,274,1.0,CT,41.603221,-73.087749,Connecticut
74,Connecticut,2015,273,1.1,CT,41.603221,-73.087749,Connecticut
75,Connecticut,2017,273,0.9,CT,41.603221,-73.087749,Connecticut
76,Connecticut,2019,270,1.2,CT,41.603221,-73.087749,Connecticut
77,Delaware,1998,254,1.3,DE,38.910832,-75.52767,Delaware
78,Delaware,2002,267,0.5,DE,38.910832,-75.52767,Delaware
79,Delaware,2003,265,0.7,DE,38.910832,-75.52767,Delaware
80,Delaware,2004,266,0.6,DE,38.910832,-75.52767,Delaware
81,Delaware,2007,265,0.6,DE,38.910832,-75.52767,Delaware
82,Delaware,2009,265,0.7,DE,38.910832,-75.52767,Delaware
83,Delaware,2011,266,0.6,DE,38.910832,-75.52767,Delaware
84,Delaware,2013,266,0.7,DE,38.910832,-75.52767,Delaware
85,Delaware,2015,263,0.8,DE,38.910832,-75.52767,Delaware
86,Delaware,2017,263,0.8,DE,38.910832,-75.52767,Delaware
87,Delaware,2019,260,0.8,DE,38.910832,-75.52767,Delaware
88,Department of Defense Education Activity (DoDEA),1998,269,1.3,,,,
89,Department of Defense Education Activity (DoDEA),2002,273,0.5,,,,
90,Department of Defense Education Activity (DoDEA),2003,272,0.6,,,,
91,Department of Defense Education Activity (DoDEA),2004,271,0.7,,,,
92,Department of Defense Education Activity (DoDEA),2007,273,1.0,,,,
93,Department of Defense Education Activity (DoDEA),2009,272,0.7,,,,
94,Department of Defense Education Activity (DoDEA),2011,272,0.7,,,,
95,Department of Defense Education Activity (DoDEA),2013,277,0.7,,,,
96,Department of Defense Education Activity (DoDEA),2015,277,0.7,,,,
97,Department of Defense Education Activity (DoDEA),2017,280,0.8,,,,
98,Department of Defense Education Activity (DoDEA),2019,280,0.7,,,,
99,District of Columbia,1998,236,2.1,DC,38.905985,-77.033418,District of Columbia
100,District of Columbia,2002,240,0.9,DC,38.905985,-77.033418,District of Columbia
101,District of Columbia,2003,239,0.8,DC,38.905985,-77.033418,District of Columbia
102,District of Columbia,2004,238,0.9,DC,38.905985,-77.033418,District of Columbia
103,District of Columbia,2007,241,0.7,DC,38.905985,-77.033418,District of Columbia
104,District of Columbia,2009,242,0.9,DC,38.905985,-77.033418,District of Columbia
105,District of Columbia,2011,242,0.9,DC,38.905985,-77.033418,District of Columbia
106,District of Columbia,2013,248,0.9,DC,38.905985,-77.033418,District of Columbia
107,District of Columbia,2015,248,1.0,DC,38.905985,-77.033418,District of Columbia
108,District of Columbia,2017,247,1.0,DC,38.905985,-77.033418,District of Columbia
109,District of Columbia,2019,250,0.9,DC,38.905985,-77.033418,District of Columbia
110,Florida,1998,255,1.4,FL,27.664827,-81.515754,Florida
111,Florida,2002,261,1.6,FL,27.664827,-81.515754,Florida
