fips,abbr,full,pop_2015,NAEP_1998,NAEP_2002,NAEP_2003,NAEP_2005,NAEP_2007,NAEP_2009,NAEP_2011,NAEP_2013,NAEP_2015,NAEP_2017,NAEP_2019
1,AL,Alabama,4858979,255,253,253,252,252,255,258,257,259,258,253
2,AK,Alaska,738432,NA,NA,256,259,259,259,261,261,260,258,252
4,AZ,Arizona,6828065,260,257,255,255,255,258,260,260,263,263,259
5,AR,Arkansas,2978204,256,260,258,258,258,258,259,262,259,260,259
6,CA,California,39144818,252,250,251,250,251,253,255,262,259,263,259
8,CO,Colorado,5456574,264,NA,268,265,266,266,271,271,268,270,267
9,CT,Connecticut,3590886,270,267,267,264,267,272,275,274,273,273,270
10,DE,Delaware,945934,254,267,265,266,265,265,266,266,263,263,260
11,DC,District of Columbia,672228,236,240,239,238,241,242,242,248,248,247,250
12,FL,Florida,20271272,255,261,257,256,260,264,262,266,263,267,263
13,GA,Georgia,10214860,257,258,258,257,259,260,262,265,262,266,262
15,HI,Hawaii,1431603,249,252,251,249,251,255,257,260,257,261,258
16,ID,Idaho,1654930,NA,266,264,264,265,265,268,270,269,270,266
17,IL,Illinois,12859995,NA,NA,266,264,263,265,266,267,267,267,265
18,IN,Indiana,6619680,NA,265,265,261,264,266,265,267,268,272,266
19,IA,Iowa,3123899,NA,NA,268,267,267,265,265,269,268,268,262
20,KS,Kansas,2911641,268,269,266,267,267,267,267,267,267,267,263
21,KY,Kentucky,4425092,262,265,266,264,262,267,269,270,268,265,263
22,LA,Louisiana,4670724,252,256,253,253,253,253,255,257,255,257,257
23,ME,Maine,1329328,271,270,268,270,270,268,270,269,268,269,265
24,MD,Maryland,6006401,261,263,262,261,265,267,271,274,268,267,264
25,MA,Massachusetts,6794422,269,271,273,274,273,274,275,277,274,278,273
26,MI,Michigan,9922576,NA,265,264,261,260,262,265,266,264,265,263
27,MN,Minnesota,5489594,265,NA,268,268,268,270,270,271,270,269,264
28,MS,Mississippi,2992333,251,255,255,251,250,251,254,253,252,256,256
29,MO,Missouri,6083672,262,268,267,265,263,267,267,267,267,266,263
30,MT,Montana,1032949,271,270,270,269,271,270,273,272,270,267,265
31,NE,Nebraska,1896190,NA,270,266,267,267,267,268,269,269,269,264
32,NV,Nevada,2890845,258,251,252,253,252,254,258,262,259,260,258
33,NH,New Hampshire,1330608,NA,NA,271,270,270,271,272,274,275,275,268
34,NJ,New Jersey,8958013,NA,NA,268,269,270,273,275,276,271,275,270
35,NM,New Mexico,2085109,258,254,252,251,251,254,256,256,253,256,252
36,NY,New York,19795791,265,264,265,265,264,264,266,266,263,264,262
37,NC,North Carolina,10042802,262,265,262,258,259,260,263,265,261,263,263
38,ND,North Dakota,756927,NA,268,270,270,268,269,269,268,267,265,263
39,OH,Ohio,11613423,NA,268,267,267,268,269,268,269,266,268,267
40,OK,Oklahoma,3911338,265,262,262,260,260,259,260,262,263,261,258
41,OR,Oregon,4028977,266,268,264,263,266,265,264,268,268,266,264
42,PA,Pennsylvania,12802503,NA,265,264,267,268,271,268,272,269,270,264
44,RI,Rhode Island,1056298,264,262,261,261,258,260,265,267,265,266,262
45,SC,South Carolina,4896146,255,258,258,257,257,257,260,261,260,260,259
46,SD,South Dakota,858469,NA,NA,270,269,270,270,269,268,267,267,263
47,TN,Tennessee,6600299,258,260,258,259,259,261,259,265,265,262,262
48,TX,Texas,27469114,261,262,259,258,261,260,261,264,261,260,256
49,UT,Utah,2995919,263,263,264,262,262,266,267,270,269,269,267
50,VT,Vermont,626042,NA,272,271,269,273,272,274,274,274,273,268
51,VA,Virginia,8382993,266,269,268,268,267,266,267,268,267,268,262
53,WA,Washington,7170351,264,268,264,265,265,267,268,272,267,272,266
54,WV,West Virginia,1844128,262,264,260,255,255,255,256,257,260,259,256
55,WI,Wisconsin,5771337,265,NA,266,266,264,266,267,268,270,269,267
56,WY,Wyoming,586107,263,265,267,268,266,268,270,271,269,269,265
,,,,,,,,,,,,,,
