,gender,year,education,value,se
242,female,1990,AA,.,.
330,female,1990,Bachelor,54820,.
154,female,1990,High school,35840,.
66,female,1990,Less than 9th grade,23970,.
462,female,1990,doctor,.,.
374,female,1990,master,.,.
418,female,1990,professional,.,.
198,female,1990,some_college,43490,.
110,female,1990,some_high,28230,.
286,female,1990,total_high_edu,59440,.
22,female,1990,total,41820,.
243,female,1995,AA,45820,718
331,female,1995,Bachelor,53770,458
155,female,1995,High school,34330,272
67,female,1995,Less than 9th grade,22780,822
463,female,1995,doctor,80770,3981
375,female,1995,master,67550,933
419,female,1995,professional,83890,4248
199,female,1995,some_college,40260,460
111,female,1995,some_high,26550,492
287,female,1995,total_high_edu,59150,525
23,female,1995,total,41730,268
244,female,2000,AA,46130,456
332,female,2000,Bachelor,60000,422
156,female,2000,High school,37070,350
68,female,2000,Less than 9th grade,23450,485
464,female,2000,doctor,84750,4452
376,female,2000,master,74440,1091
420,female,2000,professional,87530,5273
200,female,2000,some_college,42610,540
112,female,2000,some_high,26600,644
288,female,2000,total_high_edu,63400,652
24,female,2000,total,45030,205
245,female,2001,AA,46420,334
333,female,2001,Bachelor,59190,334
157,female,2001,High school,36530,191
69,female,2001,Less than 9th grade,24100,368
465,female,2001,doctor,89700,3217
377,female,2001,master,73160,474
421,female,2001,professional,89150,5741
201,female,2001,some_college,43920,269
113,female,2001,some_high,27660,518
289,female,2001,total_high_edu,64650,530
25,female,2001,total,45270,131
246,female,2002,AA,44950,300
334,female,2002,Bachelor,58060,246
158,female,2002,High school,35790,172
70,female,2002,Less than 9th grade,23470,422
466,female,2002,doctor,93400,3224
378,female,2002,master,69490,846
422,female,2002,professional,81040,3441
202,female,2002,some_college,41790,425
114,female,2002,some_high,27440,512
290,female,2002,total_high_edu,61460,807
26,female,2002,total,44070,118
247,female,2003,AA,44820,335
335,female,2003,Bachelor,57430,284
159,female,2003,High school,36240,164
71,female,2003,Less than 9th grade,23500,356
467,female,2003,doctor,93410,3422
379,female,2003,master,69710,631
423,female,2003,professional,92410,4821
203,female,2003,some_college,41890,245
115,female,2003,some_high,26320,454
291,female,2003,total_high_edu,62700,404
27,female,2003,total,43870,118
248,female,2004,AA,45320,662
336,female,2004,Bachelor,56420,233
160,female,2004,High school,35230,157
72,female,2004,Less than 9th grade,23040,326
468,female,2004,doctor,93220,3316
380,female,2004,master,69460,356
424,female,2004,professional,101560,3297
204,female,2004,some_college,41710,183
116,female,2004,some_high,25940,432
292,female,2004,total_high_edu,62140,310
28,female,2004,total,43300,108
249,female,2005,AA,44430,651
337,female,2005,Bachelor,55210,234
161,female,2005,High school,34410,175
73,female,2005,Less than 9th grade,21130,327
469,female,2005,doctor,87520,3260
381,female,2005,master,67300,370
425,female,2005,professional,105330,3631
205,female,2005,some_college,41100,216
117,female,2005,some_high,26350,359
293,female,2005,total_high_edu,61460,304
29,female,2005,total,43300,317
250,female,2006,AA,44590,477
338,female,2006,Bachelor,57590,328
162,female,2006,High school,33910,172
74,female,2006,Less than 9th grade,23000,517
470,female,2006,doctor,89430,2256
382,female,2006,master,66500,711
426,female,2006,professional,96690,3155
206,female,2006,some_college,40520,209
118,female,2006,some_high,25530,342
294,female,2006,total_high_edu,62870,559
30,female,2006,total,44510,143
251,female,2007,AA,44800,349
339,female,2007,Bachelor,56440,323
163,female,2007,High school,33590,164
75,female,2007,Less than 9th grade,22520,568
471,female,2007,doctor,85060,2657
383,female,2007,master,68340,508
427,female,2007,professional,87670,1122
207,female,2007,some_college,40490,512
119,female,2007,some_high,25150,360
295,female,2007,total_high_edu,62140,195
31,female,2007,total,44490,129
252,female,2008,AA,43650,289
340,female,2008,Bachelor,55840,281
164,female,2008,High school,33700,336
76,female,2008,Less than 9th grade,22130,587
472,female,2008,doctor,87900,2546
384,female,2008,master,68290,885
428,female,2008,professional,84660,3395
208,female,2008,some_college,38740,422
120,female,2008,some_high,24230,350
296,female,2008,total_high_edu,61040,172
32,female,2008,total,43580,129
253,female,2009,AA,44410,369
341,female,2009,Bachelor,55810,310
165,female,2009,High school,34740,325
77,female,2009,Less than 9th grade,22020,537
473,female,2009,doctor,91260,1087
385,female,2009,master,72770,362
429,female,2009,professional,99990,3825
209,female,2009,some_college,40620,576
121,female,2009,some_high,25290,359
297,female,2009,total_high_edu,61820,201
33,female,2009,total,44410,128
254,female,2010,AA,44290,689
342,female,2010,Bachelor,55610,394
166,female,2010,High school,35010,305
78,female,2010,Less than 9th grade,21380,694
474,female,2010,doctor,90740,2549
386,female,2010,master,69290,1197
430,female,2010,professional,89970,3193
210,female,2010,some_college,39160,481
122,female,2010,some_high,24480,392
298,female,2010,total_high_edu,60900,186
34,female,2010,total,44900,319
255,female,2011,AA,44650,45
343,female,2011,Bachelor,55810,117
167,female,2011,High school,34110,165
79,female,2011,Less than 9th grade,22850,284
475,female,2011,doctor,88040,24
387,female,2011,master,68540,606
431,female,2011,professional,91740,153
211,female,2011,some_college,39320,582
123,female,2011,some_high,24000,149
299,female,2011,total_high_edu,59260,100
35,female,2011,total,44220,245
256,female,2012,AA,41560,507
344,female,2012,Bachelor,55870,323
168,female,2012,High school,33860,184
80,female,2012,Less than 9th grade,22340,572
476,female,2012,doctor,86750,4026
388,female,2012,master,67840,517
432,female,2012,professional,105200,7410
212,female,2012,some_college,39040,503
124,female,2012,some_high,23810,317
300,female,2012,total_high_edu,59780,989
36,female,2012,total,44520,327
257,female,2013,AA,41380,824
345,female,2013,Bachelor,55690,374
169,female,2013,High school,33800,190
81,female,2013,Less than 9th grade,21770,551
477,female,2013,doctor,82410,3858
389,female,2013,master,67250,616
433,female,2013,professional,93720,6800
213,female,2013,some_college,38680,342
125,female,2013,some_high,24420,597
301,female,2013,total_high_edu,61150,457
37,female,2013,total,44570,147
258,female,2014,AA,40470,638
346,female,2014,Bachelor,55450,248
170,female,2014,High school,33100,163
82,female,2014,Less than 9th grade,22670,301
478,female,2014,doctor,86980,3105
390,female,2014,master,65690,477
434,female,2014,professional,99150,9273
214,female,2014,some_college,37120,962
126,female,2014,some_high,23740,348
302,female,2014,total_high_edu,60410,360
38,female,2014,total,44090,163
259,female,2015,AA,43350,471
347,female,2015,Bachelor,55750,300
171,female,2015,High school,33710,149
83,female,2015,Less than 9th grade,22710,297
479,female,2015,doctor,88780,4047
391,female,2015,master,67280,1224
435,female,2015,professional,88960,5446
215,female,2015,some_college,38990,294
127,female,2015,some_high,24450,770
303,female,2015,total_high_edu,61720,568
39,female,2015,total,44960,157
260,female,2016,AA,42840,386
348,female,2016,Bachelor,55420,274
172,female,2016,High school,33600,162
84,female,2016,Less than 9th grade,23660,517
480,female,2016,doctor,92000,4777
392,female,2016,master,69140,1162
436,female,2016,professional,98030,4759
216,female,2016,some_college,39290,291
128,female,2016,some_high,26420,599
304,female,2016,total_high_edu,63980,514
40,female,2016,total,45810,657
261,female,2017,AA,42390,349
349,female,2017,Bachelor,54690,627
173,female,2017,High school,33630,208
85,female,2017,Less than 9th grade,23320,556
481,female,2017,doctor,95990,3272
393,female,2017,master,71450,1590
437,female,2017,professional,104480,5024
217,female,2017,some_college,38200,270
129,female,2017,some_high,26550,479
