,gender,year,education,value,se
242,female,1990,AA,.,.
330,female,1990,Bachelor,28020,.
154,female,1990,High school,18320,.
66,female,1990,Less than 9th grade,12250,.
462,female,1990,doctor,.,.
374,female,1990,master,.,.
418,female,1990,professional,.,.
198,female,1990,some_college,22230,.
110,female,1990,some_high,14430,.
22,female,1990,total,21370,.
286,female,1990,total_high_edu,30380,.
243,female,1995,AA,27310,428
331,female,1995,Bachelor,32050,273
155,female,1995,High school,20460,162
67,female,1995,Less than 9th grade,13580,490
463,female,1995,doctor,48140,2373
375,female,1995,master,40260,556
419,female,1995,professional,50000,2532
199,female,1995,some_college,24000,274
111,female,1995,some_high,15830,293
23,female,1995,total,24880,160
287,female,1995,total_high_edu,35260,313
244,female,2000,AA,31070,307
332,female,2000,Bachelor,40420,284
156,female,2000,High school,24970,236
68,female,2000,Less than 9th grade,15800,327
464,female,2000,doctor,57080,2999
376,female,2000,master,50140,735
420,female,2000,professional,58960,3552
200,female,2000,some_college,28700,364
112,female,2000,some_high,17920,434
24,female,2000,total,30330,138
288,female,2000,total_high_edu,42710,439
245,female,2001,AA,32150,231
333,female,2001,Bachelor,40990,231
157,female,2001,High school,25300,132
69,female,2001,Less than 9th grade,16690,255
465,female,2001,doctor,62120,2228
377,female,2001,master,50670,328
421,female,2001,professional,61750,3976
201,female,2001,some_college,30420,186
113,female,2001,some_high,19160,359
25,female,2001,total,31360,91
289,female,2001,total_high_edu,44780,367
246,female,2002,AA,31630,211
334,female,2002,Bachelor,40850,173
158,female,2002,High school,25180,121
70,female,2002,Less than 9th grade,16510,297
466,female,2002,doctor,65720,2268
378,female,2002,master,48890,595
422,female,2002,professional,57020,2421
202,female,2002,some_college,29400,299
114,female,2002,some_high,19310,360
26,female,2002,total,31010,83
290,female,2002,total_high_edu,43250,568
247,female,2003,AA,32250,241
335,female,2003,Bachelor,41330,204
159,female,2003,High school,26070,118
71,female,2003,Less than 9th grade,16910,256
467,female,2003,doctor,67210,2462
379,female,2003,master,50160,454
423,female,2003,professional,66490,3469
203,female,2003,some_college,30140,176
115,female,2003,some_high,18940,327
