,gender,year,education,value,se
242,female,1990,AA,.,.
330,female,1990,Bachelor,4704,106
154,female,1990,High school,11810,163
66,female,1990,Less than 9th grade,847,46
462,female,1990,doctor,.,.
374,female,1990,master,.,.
418,female,1990,professional,.,.
198,female,1990,some_college,6462,123
110,female,1990,some_high,1861,67
286,female,1990,total_high_edu,7655,133
22,female,1990,total,28636,235
243,female,1995,AA,3336,95
331,female,1995,Bachelor,6434,131
155,female,1995,High school,11064,169
67,female,1995,Less than 9th grade,774,46
463,female,1995,doctor,283,28
375,female,1995,master,2268,79
419,female,1995,professional,421,34
199,female,1995,some_college,6329,130
111,female,1995,some_high,1763,69
287,female,1995,total_high_edu,9406,156
23,female,1995,total,32673,268
244,female,2000,AA,4118,98
332,female,2000,Bachelor,7899,134
156,female,2000,High school,11789,163
68,female,2000,Less than 9th grade,930,47
464,female,2000,doctor,353,29
376,female,2000,master,2823,81
420,female,2000,professional,509,35
200,female,2000,some_college,7391,130
112,female,2000,some_high,1950,68
288,female,2000,total_high_edu,11584,161
24,female,2000,total,37762,272
245,female,2001,AA,4190,71
333,female,2001,Bachelor,8257,98
157,female,2001,High school,11690,116
69,female,2001,Less than 9th grade,927,33
465,female,2001,doctor,392,22
377,female,2001,master,3089,61
421,female,2001,professional,531,25
201,female,2001,some_college,7283,92
113,female,2001,some_high,1869,47
289,female,2001,total_high_edu,12269,119
25,female,2001,total,38228,197
246,female,2002,AA,4285,71
334,female,2002,Bachelor,8229,98
158,female,2002,High school,11687,116
70,female,2002,Less than 9th grade,858,32
466,female,2002,doctor,402,22
378,female,2002,master,3281,63
422,female,2002,professional,572,26
202,female,2002,some_college,7354,93
114,female,2002,some_high,1841,47
290,female,2002,total_high_edu,12484,120
26,female,2002,total,38510,198
247,female,2003,AA,4397,72
335,female,2003,Bachelor,8330,99
159,female,2003,High school,11587,115
71,female,2003,Less than 9th grade,882,33
467,female,2003,doctor,462,24
379,female,2003,master,3376,63
423,female,2003,professional,567,26
203,female,2003,some_college,7341,93
115,female,2003,some_high,1739,46
291,female,2003,total_high_edu,12735,121
27,female,2003,total,38681,198
248,female,2004,AA,4505,73
336,female,2004,Bachelor,8664,100
160,female,2004,High school,11392,114
72,female,2004,Less than 9th grade,917,33
468,female,2004,doctor,452,23
380,female,2004,master,3451,64
424,female,2004,professional,564,26
204,female,2004,some_college,7330,93
116,female,2004,some_high,1797,46
292,female,2004,total_high_edu,13131,122
28,female,2004,total,39072,199
249,female,2005,AA,4751,75
337,female,2005,Bachelor,9074,103
161,female,2005,High school,11419,115
73,female,2005,Less than 9th grade,902,33
469,female,2005,doctor,437,23
381,female,2005,master,3591,65
425,female,2005,professional,657,28
205,female,2005,some_college,7452,93
