,gender,year,education,value,se
220,female,2000,AA,66.6,0.92
300,female,2000,Bachelor,66.7,0.67
140,female,2000,High school,64.1,0.54
60,female,2000,Less than 9th grade,53.5,1.84
420,female,2000,doctor,71.5,3.13
340,female,2000,master,64.9,1.11
380,female,2000,professional,70.6,2.61
180,female,2000,some_college,65.3,0.69
100,female,2000,some_high,56.5,1.3
260,female,2000,total_high_edu,66.5,0.55
20,female,2000,total,64.6,0.3
221,female,2001,AA,65.8,0.65
301,female,2001,Bachelor,66.6,0.47
141,female,2001,High school,63.5,0.39
61,female,2001,Less than 9th grade,54,1.32
421,female,2001,doctor,70.9,2.12
341,female,2001,master,65.6,0.76
381,female,2001,professional,70.3,1.83
181,female,2001,some_college,65.1,0.49
101,female,2001,some_high,55.3,0.94
261,female,2001,total_high_edu,66.6,0.38
21,female,2001,total,64.3,0.22
222,female,2002,AA,65.6,0.65
302,female,2002,Bachelor,65.9,0.47
142,female,2002,High school,63.2,0.39
62,female,2002,Less than 9th grade,52.6,1.36
422,female,2002,doctor,73.8,2.07
342,female,2002,master,66.1,0.74
382,female,2002,professional,74.3,1.73
182,female,2002,some_college,65,0.49
102,female,2002,some_high,55.5,0.95
262,female,2002,total_high_edu,66.5,0.38
22,female,2002,total,64.1,0.22
223,female,2003,AA,65.6,0.64
303,female,2003,Bachelor,65.8,0.46
143,female,2003,High school,64.4,0.39
63,female,2003,Less than 9th grade,56.5,1.38
423,female,2003,doctor,71.9,1.95
343,female,2003,master,66.3,0.73
383,female,2003,professional,72.3,1.75
183,female,2003,some_college,64.2,0.49
103,female,2003,some_high,53.8,0.96
263,female,2003,total_high_edu,66.4,0.37
23,female,2003,total,64.4,0.21
224,female,2004,AA,64.6,0.63
304,female,2004,Bachelor,66.3,0.45
144,female,2004,High school,64.5,0.4
64,female,2004,Less than 9th grade,56.3,1.35
424,female,2004,doctor,71.2,1.97
344,female,2004,master,66.3,0.72
384,female,2004,professional,71.5,1.77
184,female,2004,some_college,64.2,0.49
104,female,2004,some_high,56.1,0.96
264,female,2004,total_high_edu,66.7,0.37
24,female,2004,total,64.5,0.21
225,female,2005,AA,67.2,0.61
305,female,2005,Bachelor,68,0.44
145,female,2005,High school,65.1,0.4
65,female,2005,Less than 9th grade,56.5,1.36
425,female,2005,doctor,67.3,2.02
345,female,2005,master,68.3,0.7
385,female,2005,professional,71.2,1.64
185,female,2005,some_college,63.5,0.49
105,female,2005,some_high,54.5,0.97
265,female,2005,total_high_edu,68.2,0.36
25,female,2005,total,65.3,0.21
226,female,2006,AA,67.3,0.61
306,female,2006,Bachelor,68.4,0.43
146,female,2006,High school,65.6,0.39
66,female,2006,Less than 9th grade,58.5,1.35
426,female,2006,doctor,74,1.86
346,female,2006,master,67.5,0.69
386,female,2006,professional,73.6,1.61
186,female,2006,some_college,65.9,0.48
106,female,2006,some_high,56,0.96
266,female,2006,total_high_edu,68.6,0.35
26,female,2006,total,66.2,0.21
227,female,2007,AA,67.3,0.6
307,female,2007,Bachelor,68.4,0.42
147,female,2007,High school,65.7,0.39
67,female,2007,Less than 9th grade,56.8,1.43
427,female,2007,doctor,71.2,1.91
347,female,2007,master,70.6,0.63
387,female,2007,professional,74.1,1.6
187,female,2007,some_college,66.7,0.48
107,female,2007,some_high,55.3,1
267,female,2007,total_high_edu,69.3,0.34
27,female,2007,total,66.7,0.21
228,female,2008,AA,65.5,0.6
308,female,2008,Bachelor,67.8,0.43
148,female,2008,High school,62.4,0.4
68,female,2008,Less than 9th grade,51.6,1.38
428,female,2008,doctor,70,1.8
348,female,2008,master,66.9,0.65
388,female,2008,professional,74,1.51
188,female,2008,some_college,64.7,0.49
108,female,2008,some_high,52.8,1.01
268,female,2008,total_high_edu,67.9,0.34
28,female,2008,total,64.4,0.21
229,female,2009,AA,64.5,0.6
309,female,2009,Bachelor,68.3,0.42
149,female,2009,High school,62.4,0.41
69,female,2009,Less than 9th grade,52,1.42
429,female,2009,doctor,68.3,1.74
349,female,2009,master,67.5,0.65
389,female,2009,professional,66.4,1.72
189,female,2009,some_college,63.9,0.5
109,female,2009,some_high,54.5,1.04
269,female,2009,total_high_edu,68,0.34
29,female,2009,total,64.3,0.21
230,female,2010,AA,64.3,0.6
310,female,2010,Bachelor,67.7,0.42
150,female,2010,High school,62.6,0.42
70,female,2010,Less than 9th grade,51.7,1.46
430,female,2010,doctor,76.3,1.51
350,female,2010,master,68.5,0.62
390,female,2010,professional,73.9,1.66
190,female,2010,some_college,63.3,0.5
110,female,2010,some_high,52.4,1.07
270,female,2010,total_high_edu,68.5,0.34
30,female,2010,total,64.4,0.21
231,female,2011,AA,66.3,0.59
311,female,2011,Bachelor,69.4,0.41
151,female,2011,High school,63,0.42
71,female,2011,Less than 9th grade,52.2,1.42
431,female,2011,doctor,73.6,1.58
351,female,2011,master,69,0.62
391,female,2011,professional,72.8,1.65
191,female,2011,some_college,62.9,0.5
111,female,2011,some_high,49.1,1.04
271,female,2011,total_high_edu,69.6,0.33
31,female,2011,total,65,0.21
232,female,2012,AA,64.7,0.58
312,female,2012,Bachelor,70.6,0.4
152,female,2012,High school,62.3,0.42
